ID Cliente,Nombre,Apellido,Género,Edad,Ciudad,Empresa,Email,Teléfono,Fecha de Registro
C001,Mateo,Sánchez,M,32,Quito,TecnoPlus S.A.,a.molina@tecnoplus.com,+52 55 8123 4401,2025-01-03
C002,Valentina,Ortiz,F,28,Guayaquil,Global Market Corp,b.herrera@gmcorp.com,+52 81 9022 1154,2025-01-04
C003,Sebastián,Herrera,M,41,Cuenca,Innovatech Solutions,r.fuentes@innovatech.com,+52 33 6710 4421,2025-01-06
C004,Camila,Molina,F,35,Manta,HealthCare MX,j.torres@hc-mx.com,+52 55 7122 9844,2025-01-08
C005,Nicolás,Zambrano,M,29,Ambato,AgroIndustrial del Valle,s.lopez@agrovalle.mx,+52 444 129 7733,2025-01-10
C006,Isabella,Vargas,F,33,Loja,RedCom Networks,n.ramirez@redcomnet.com,+52 55 4433 9910,2025-01-12
C007,Daniel,Villalba,M,26,Riobamba,ConstruMax,j.martinez@construmax.com,+52 81 6655 2201,2025-01-13
C008,Sofía,Castillo,F,45,Machala,EcoGreen Solutions,d.sandoval@ecogreen.com,+52 33 9988 1102,2025-01-14
C009,Andrés,Torres,M,38,Santo Domingo,FinanPlus,o.rios@finanplus.com,+52 55 7711 3009,2025-01-16
C010,Luciana,Espinoza,F,31,Portoviejo,Logística Total,l.jimenez@logtotal.mx,+52 722 550 4438,2025-01-17
